Question;Answer;TTC
En quoi consiste le processus d'évaluation de progression par le GPS (gestionnaire de prestation de services)?;" Le processus d'évaluation de progression par le GPS consiste en une rencontre entre le conseiller et son gestionnaire où ils analysent ensemble la contribution du conseiller sur l'année écoulée. 

D'une part, le GPS évalue la performance du conseiller en fonction des objectifs fixés et de son implication. D'autre part, le conseiller fait le point sur ses forces, ses points à améliorer et ses objectifs pour l'année à venir. 

Cette évaluation permet au GPS de guider le développement professionnel du conseiller en l'orientant vers les formations ou ressources nécessaires. Elle influence également la carrière du conseiller au sein de l'entreprise.";6.51
Quelle flexibilité Levio offre-t-elle dans ses conditions de travail?; Levio offre une grande flexibilité dans ses conditions de travail à ses employés. Elle propose des horaires flexibles gérés par les conseillers eux-mêmes, la possibilité d'alterner travail en présentiel et télétravail selon les besoins, et la capacité d'adapter son régime d'assurances collectives. De plus, Levio permet aux conseillers de moduler leurs conditions de travail en fonction des différentes étapes de leur vie professionnelle et personnelle, afin de concilier au mieux travail et vie privée. Cette flexibilité fait de Levio un employeur attractif pour des professionnels recherchant autonomie et équilibre.;7.94
Quel est le rôle des consultants chez Levio et comment sont-ils soutenus dans leur carrière?;" Les consultants chez Levio ont pour rôle d'accompagner les clients lors de la mise en œuvre de programmes et de projets de transformation organisationnelle. 

Leur expertise permet de maîtriser les enjeux les plus complexes tout au long du cycle de vie d'un projet. 

Levio soutient les consultants dans leur carrière en offrant des conditions de travail flexibles leur permettant de moduler leur horaire selon leurs besoins et intérêts. Le processus d'évaluation avec le gestionnaire de prestation de services permet de faire le point sur l'évolution du consultant et sur ses attentes pour l'année à venir. Levio offre également une rémunération avantageuse tenant compte de l'expertise et de la performance de chacun.";7.01
Quels types de projets les équipes de Levio sont-elles appelées à réaliser?; Les équipes de Levio sont appelées à réaliser des projets d'envergure de transformation numérique en collaboration avec leurs clients. Elles travaillent sur des projets complexes qui nécessitent une expertise technique poussée et qui ont le potentiel de changer le monde. Ces projets sont réalisés de manière collaborative au sein d'équipes souples et dynamiques, sans hiérarchie, ce qui permet aux passionnés de trouver réponse à leurs aspirations.;5.77
Quelle est la vision du président concernant l'avenir des employés chez Levio?;" D'après les citations, la vision du président concernant l'avenir des employés chez Levio est la suivante :

Il croit en la croissance de l'entreprise et en son potentiel. Il souhaite former les futurs leaders et laisser de la place aux jeunes employés, qui représentent l'avenir de Levio. Il met l'accent sur la flexibilité des conditions de travail afin de permettre aux employés de concilier vie professionnelle et vie privée. Sa vision est d'offrir des opportunités de carrière et de développement aux employés tout en continuant à avoir un impact positif.";5.86
En quoi consiste la politique de Flexi-Travail de Levio?; La politique de Flexi-Travail de Levio consiste à offrir à ses employés la possibilité de travailler de manière flexible, soit en télétravail ou en présentiel au bureau, afin de concilier au mieux vie professionnelle et vie personnelle. Il existe deux formes de Flexi-Travail chez Levio : le Flexi-Travail selon le client, qui s'applique aux conseillers en mandat devant se conformer à l'horaire et la politique du client, et le Flexi-Travail Levio pour les autres employés leur permettant d'alterner télétravail et présentiel. Levio met à disposition des outils comme une plateforme de réservation des espaces de travail et encourage la communication entre les acteurs afin de favoriser le succès de cette politique flexible.;6.70
Comment les conseillers de Levio peuvent-ils utiliser l'allocation de développement professionnel (ADP)?; Les conseillers de Levio peuvent utiliser leur allocation de développement professionnel (ADP) de plusieurs façons. Tout d'abord, ils peuvent suivre des formations pour acquérir de nouvelles compétences et parfaire leurs connaissances, ce qui favorise leur progression de carrière. Ils ont également accès aux plus récentes technologies utiles à leur profession. De plus, l'ADP peut servir à réaliser des mandats intéressants axés sur les technologies de pointe. Enfin, les conseillers peuvent l'utiliser pour des projets importants de formation sur plus d'une année, sous réserve d'approbation de leur gestionnaire.;8.36
Quels types d'horaires de travail Levio offre-t-elle à ses employés?;" Levio offre plusieurs types d'horaires flexibles à ses employés:

- Des horaires flexibles gérés par les conseillers eux-mêmes leur permettant de mieux concilier vie professionnelle et vie personnelle. 

- Deux formes de flexi-travail sont possibles: le ""flexi-travail selon le client"" pour les conseillers en mandat leur permettant d'alterner travail sur site et télétravail, et le ""flexi-travail Levio"" pour les autres employés leur donnant la possibilité d'alterner également travail présentiel et télétravail selon leurs besoins.

- Cette flexibilité horaire et la possibilité de télétravail visent à offrir autonomie et responsabilités aux employés tout en leur permettant de concilier travail et vie personnelle.";6.99
Quel est le plan de vacances de Levio?;" D'après les informations fournies, voici le plan de vacances de Levio:

Levio accorde 4 semaines de vacances (8%) à tous ses employés qui s'accumulent à raison de 1,66 jours par mois travaillé. Il est possible d'anticiper 5 jours de vacances durant l'année. Les vacances non utilisées une année sont cumulées et disponibles pour l'année suivante. Pour planifier des vacances, le conseiller doit obtenir l'approbation de son chargé de projet, du client et s'assurer d'une transition pendant son absence. Il doit aussi en informer l'administration de Levio et remplir les feuilles de temps. Levio accorde une grande liberté dans le choix des dates de vacances tout en devant les harmoniser avec le calendrier des clients.";8.15
Quelles sont les caractéristiques du régime d'assurances collectives chez Levio?;" Les principales caractéristiques du régime d'assurances collectives chez Levio sont les suivantes:

- Un régime d'assurances collectives administré par la Sun Life et comprenant des garanties de base payées par Levio ainsi que des options supplémentaires à la carte. 

- Une flexibilité permettant à chaque conseiller d'adapter le régime selon ses besoins, notamment en matière de santé, d'assurance-vie et d'épargne retraite.

- La possibilité pour ceux déjà couverts par un autre régime de s'en exempter. 

- Un soutien de l'employeur pour toute question relative aux garanties collectives.";6.00
Quels incitatifs REER Levio offre-t-elle pour la retraite de ses conseillers?;" Voici les incitatifs REER que Levio offre à ses conseillers pour leur retraite:

Levio offre un régime enregistré d'épargne-retraite (REER) collectif administré par Desjardins Sécurité Financière. Elle encourage fortement ses conseillers à y cotiser pour leur retraite future. Elle leur offre également un ""Incitatif REER"" qui correspond à 50% des cotisations REER du conseiller jusqu'à concurrence de 3% de son salaire annuel. Cet incitatif peut être investi dans un régime de participation différée aux bénéfices (RPDB) ou converti en jusqu'à 5 jours de vacances supplémentaires. Si le conseiller contribue également à Centraide, l'incitatif REER passe à 100% des cotisations REER jusqu'à 3% du salaire.";10.06
Comment les salaires de Levio se comparent-ils aux autres entreprises du marché?; Les salaires de Levio se comparent favorablement aux autres entreprises du marché. D'après le document, Levio offre un salaire de base compétitif et concurrentiel sur le marché. De plus, Levio propose des avantages sociaux intéressants comme un régime d'assurances collectives adaptable, des incitatifs REER et une grande flexibilité dans les conditions de travail afin de concilier vie professionnelle et vie personnelle. Cela permet à Levio de se distinguer positivement comme employeur et d'attirer les meilleurs talents.;6.16
De quelle manière Levio contribue-t-elle au développement de carrière de ses conseillers?;" Levio contribue au développement de carrière de ses conseillers de plusieurs manières:

- Elle offre un environnement de travail stimulant et collaboratif permettant aux conseillers d'échanger leurs connaissances et de progresser professionnellement. 

- Elle propose une politique de flexi-travail adaptée aux besoins des conseillers afin qu'ils puissent concilier vie professionnelle et personnelle.

- Elle reconnaît la diversité des mandats et des intérêts de chacun, en offrant la possibilité de se spécialiser, de participer à la croissance de l'entreprise ou de se concentrer sur leur vie personnelle.";7.82
Quels avantages spécifiques Levio offre-t-elle pour le télétravail et l'ergonomie des postes de travail?;" Voici les principaux avantages que Levio offre pour le télétravail et l'ergonomie des postes de travail:

- Des horaires flexibles gérés par les conseillers eux-mêmes leur permettant d'alterner entre le travail en présentiel et le télétravail. 

- La possibilité de choisir le lieu de travail (bureau du client, bureaux de Levio ou à domicile) afin de concilier au mieux travail et vie personnelle.

- Un aménagement ergonomique des conditions de travail adapté aux différentes étapes de la vie professionnelle et personnelle des conseillers grâce à une grande flexibilité.

- Des assurances collectives et des incitatifs REER adaptés aux besoins des employés.";4.63
Comment Levio adapte-t-elle son offre d'assurances collectives aux besoins individuels de ses employés?;" Levio adapte son offre d'assurances collectives aux besoins individuels de ses employés de plusieurs façons:

- Elle offre à tous ses conseillers un régime d'assurances collectives administré par la Sun Life qui propose des garanties de base payées par Levio et des options supplémentaires que les employés peuvent choisir selon leurs besoins. 

- Ceux qui sont déjà couverts ailleurs peuvent être exemptés. 

- Le régime est adaptable et les employés ont une grande flexibilité pour façonner leurs conditions de travail en fonction des étapes de leur vie professionnelle et personnelle, avec des horaires flexibles par exemple.

- Des questions sur les garanties collectives peuvent être adressées à l'employeur.";5.83
Quelle est la mission de Levio?; La mission de Levio est de se positionner comme partenaire de premier plan pour ajouter de la valeur d'affaires chez ses clients en capitalisant sur son expérience, son savoir-faire et les nouvelles technologies. Levio existe pour partager le bonheur et la fierté de réussir des projets de transformation numérique d'envergure en équipe, en prenant de gros risques et en livrant des projets ambitieux on time, on scope et on budget.;2.96
Quelles sont les valeurs de Levio?;" Les valeurs de Levio sont:

1. L'engagement concret à livrer les bénéfices  
2. La réussite en équipe par la mobilisation
3. La rigueur dans la planification, le suivi et l'exécution
4. Le sens des responsabilités sans faille  
5. La fierté et l'enthousiasme rassembleur autour de la réussite
6. Le respect des personnes, des cultures, des différences et des talents de chacun, favorisant la collaboration.";3.32
Quels sont les clients de Levio?; Les clients de Levio sont nombreux et diversifiés. Il s'agit de compagnies d'assurances d'envergure, d'organismes du secteur public et parapublic ainsi que d'entreprises de services. Quelques exemples de clients ayant accordé leur confiance à Levio dès le début sont mentionnés, sans toutefois préciser leur nom. Levio s'ajuste pour répondre aux besoins variés de ses clients et développe avec eux une relation de partenariat en recherche et développement, en mettant l'accent sur l'intrapreneuriat au sein de son équipe.;5.32
En quoi consiste le métier de consultant tel que décrit par Levio?;" D'après la documentation interne de Levio, le métier de consultant tel que décrit consiste à :
- Travailler au sein d'une équipe de conseillers expérimentés et de haut niveau afin d'apporter leur expertise sur des enjeux complexes et tout au long du cycle de vie de projets ou programmes de transformation pour les clients. 
- Bénéficier d'une grande flexibilité et autonomie dans l'organisation de leur travail, en pouvant moduler leurs conditions selon leurs besoins et intérêts, tout en répondant aux exigences des clients.
- Évoluer professionnellement au sein d'une culture d'équipe, de partenariat et de soutien mutuel entre consultants, afin de relever des défis variés sur des mandats d'envergure.";9.13
Pourquoi les consultants doivent-ils s'adapter aux exigences et pratiques des clients?;" Les consultants doivent s'adapter aux exigences et pratiques des clients car:

- Leur métier consiste principalement à intervenir directement chez leurs clients et ils doivent respecter les règles en vigueur chez eux, qui peuvent varier d'un client à l'autre (heures de travail, processus, etc.)

- Pour se différencier de la concurrence et apporter une valeur ajoutée, ils doivent répondre aux besoins spécifiques de chaque client 

- Leur objectif est de réussir les projets de transformation des clients et d'établir des relations de confiance, ce qui nécessite de s'adapter à leur façon de travailler.

- Bien que disposant d'une certaine flexibilité, ils doivent respecter les politiques des clients pour ne pas les léser.";5.05
Pourquoi le nombre d'heures de travail peut-il varier selon les clients?;" Le nombre d'heures de travail peut varier selon les clients pour plusieurs raisons:

- Certains consultants ont un contrat prévoyant un nombre d'heures facturables différent de 75 heures sur deux semaines, il faut alors se référer au contrat. 

- Les horaires de travail peuvent être différents selon la nature des mandats chez les clients, par exemple certains travaux nécessitent d'être réalisés en soirée ou le weekend. 

- Les impératifs et pratiques varient d'un client à l'autre, par exemple certains ferment leurs bureaux à des dates fixes pour les vacances alors que d'autres ont des congés à des dates différentes. 

- Le métier de consultant requiert de s'adapter aux exigences et pratiques en vigueur chez chaque client.";4.11
Comment les horaires de travail des consultants sont-ils affectés par la nature des mandats?; Les horaires de travail des consultants peuvent être affectés par la nature des mandats pour plusieurs raisons. Tout d'abord, les consultants doivent s'adapter aux horaires et exigences en vigueur chez leurs clients, qui peuvent varier d'un client à l'autre. Ensuite, certains mandats peuvent nécessiter de travailler en dehors des heures normales, comme le soir ou la fin de semaine. De plus, le nombre d'heures facturables requises peut différer selon les mandats. Finalement, des périodes sans mandat permettent aux consultants de collaborer avec leurs collègues, de suivre des formations ou de faire du travail administratif, avec une plus grande flexibilité sur les horaires.;3.53
Les consultants de Levio peuvent-ils choisir quand prendre du temps pour eux?; Oui, les consultants de Levio peuvent choisir quand prendre du temps pour eux grâce à la flexibilité offerte par l'entreprise. En effet, Levio accorde une grande importance à l'équilibre entre la vie professionnelle et personnelle de ses conseillers. Ces derniers bénéficient d'horaires flexibles qu'ils gèrent eux-mêmes et peuvent prendre des congés sans solde de courte ou longue durée. De plus, entre deux mandats, les périodes moins intensives permettent aux consultants de souffler. Ainsi, Levio s'engage à maximiser la flexibilité de ses conseillers afin qu'ils puissent moduler leurs conditions de travail en fonction de leurs besoins et intérêts.;3.47
Pourquoi certains travaux doivent-ils être réalisés en soirée ou le week-end?;" Certains travaux doivent être réalisés en soirée ou le week-end pour plusieurs raisons:

<quotes>Tout d'abord, certains chantiers nécessitent d'être effectués hors des heures de travail normales afin de ne pas perturber l'activité des clients. C'est notamment le cas pour des travaux de construction ou d'entretien qui requièrent la fermeture de bureaux ou d'infrastructures. 

De plus, réaliser des travaux en dehors des heures de pointe permet souvent de gagner en efficacité et de limiter les embouteillages ou autres perturbations liées aux heures de trafic intense. 

Enfin, certains clients ont des horaires flexibles qui permettent aux consultants d'intervenir le soir ou le weekend afin de respecter les délais de livraison des projets tout en offrant une plus grande latitude dans la gestion des horaires.</quotes>";6.57
Quelles sont les catégories de dépenses éligibles à l'allocation de développement professionnel (ADP)?;" Les catégories de dépenses éligibles à l'allocation de développement professionnel (ADP) sont les suivantes:

- Les formations pour développer ses compétences professionnelles.

- Les outils de travail nécessaires à l'exercice de la profession, comme l'équipement informatique ou ergonomique pour le télétravail. 

- Les frais liés aux ordres professionnels auxquels le conseiller peut adhérer.

- Les activités sportives ou de loisirs permettant de maintenir un équilibre entre la vie professionnelle et personnelle. 

- Les frais engagés lors des congés des fêtes ou des vacances, dans la limite des montants indiqués dans le guide du conseiller.";5.55
Comment est calculée l'allocation maximale de l'ADP et est-elle cumulable d'une année sur l'autre?; L'allocation maximale de l'ADP est calculée mensuellement et est cumulative sur 3 ans. Elle est de 2 500$ par année, ce qui équivaut à un maximum de 2 875$ par année incluant les taxes. Cette allocation peut être utilisée d'une année sur l'autre, c'est-à-dire que si le montant n'est pas utilisé entièrement une année, le solde peut être reporté sur les années suivantes jusqu'à concurrence des 3 ans.;3.35
Où peut-on trouver les informations détaillées sur les critères d'admissibilité et les modalités de l'ADP?;" Voici les informations détaillées sur les critères d'admissibilité et les modalités de l'ADP en quatre phrases:

L'ADP est une allocation de développement professionnel qui peut être utilisée pour la formation, les outils de travail, les congés des fêtes et les activités sportives notamment. Pour utiliser l'ADP en jour de formation, il faut envoyer un courriel à accesconseillers@levio.ca avec l'inscription en pièce jointe. Le montant maximal disponible par année est de 2 500$ plus taxes et est cumulative sur 3 ans. La conversion en jours de congé se fait selon le salaire, soit 300$ ou 500$ d'ADP par jour pour les employés rémunérés entre 65 000$ et 100 000$ et plus.";5.34
Est-il possible de demander une avance sur l'allocation de l'année suivante pour couvrir une dépense importante et quelle est la procédure à suivre?;" Oui, il est possible de demander une avance sur l'allocation de l'année suivante pour couvrir une dépense importante, mais cela reste soumis à certaines conditions. La procédure à suivre est la suivante :

- Contacter son employeur pour expliquer la situation et demander cette avance sur l'allocation de l'année suivante. Cette demande doit être faite par écrit.

- Fournir à l'employeur les justificatifs nécessaires concernant la dépense à couvrir et son caractère important. 

- L'employeur étudiera alors la demande et pourra, le cas échéant, accorder une avance sur l'allocation de l'année suivante dans la limite des montants disponibles.

- Un avenant au contrat de travail ou une confirmation écrite de l'employeur sera nécessaire pour valider cet arrangement d'avance de fonds.";5.69
Quelle est la procédure pour enregistrer une absence pendant la période des Fêtes dans le système Unit4?;" Voici la procédure pour enregistrer une absence pendant la période des Fêtes dans le système Unit4:

- Indiquer une absence à sa feuille de temps dans Unit4. Prendre note que le privilège de conversion d'ADP en congé est disponible seulement pour la période entre le 26 décembre et le 1er janvier. 

- Au moment de la conversion, le solde d'ADP sera réduit et la banque de temps sera augmentée selon le taux de conversion applicable en fonction du salaire.

- Pour prendre les jours de congé, le conseiller indiquera une absence à sa feuille de temps dans Unit4 et choisira la catégorie ""Absence - ADP temps des Fêtes"".";3.69
Quels sont les différents taux de conversion de l'ADP en jours de congé en fonction des tranches de salaire des employés?;" Les différents taux de conversion de l'ADP en jours de congé en fonction des tranches de salaire des employés sont les suivants :
- 200$ d'ADP par jour de congé pour les employés rémunérés de moins de 65 000$ par année.  
- 300$ d'ADP par jour de congé pour les employés rémunérés entre 65 000$ et 99 999$ par année.
- 500$ d'ADP par jour de congé pour les employés rémunérés de 100 000$ et plus par année.";2.75
Y a-t-il des restrictions quant au nombre de jours de congé que l'on peut prendre en utilisant l'ADP?;" Voici une réponse en quatre phrases maximum:

Il n'y a généralement pas de restrictions quant au nombre de jours de congé que l'on peut prendre en utilisant l'ADP. Cependant, le nombre de jours convertis en congé est limité entre le 26 décembre et le 1er janvier, avec un taux de conversion variant entre 200$ et 500$ par jour selon le salaire. Pour les congés de formation, une demande écrite est requise. L'utilisation de l'ADP pour des congés doit respecter le solde disponible et le budget annuel.";3.31
Comment les jours de vacances s'accumulent-ils pour les employés de Levio?;" Les jours de vacances des employés de Levio s'accumulent de la façon suivante:

- Chaque employé reçoit 4 semaines (8%) de vacances par année. Ces vacances s'accumulent à raison de 1,66 jours par mois travaillé. 

- En situation exceptionnelle, les vacances non utilisées pour une année peuvent être reportées et disponibles pour l'année suivante.

- Il est possible d'anticiper jusqu'à 5 jours de vacances dans l'année. 

- Pendant la période des fêtes entre Noël et le Jour de l'An, les bureaux de Levio sont fermés et tous les employés doivent prendre leurs vacances à ce moment. Ils peuvent utiliser leurs jours de vacances annuelles ou d'autres options comme la banque de temps.";5.01
Quelle est la procédure à suivre pour obtenir l'approbation des vacances et absences planifiées chez Levio?;" La procédure à suivre pour obtenir l'approbation des vacances et absences planifiées chez Levio est la suivante:

1. Le conseiller doit obtenir l'approbation de son chargé de projet et du client pour ses vacances et absences planifiées. 

2. Il doit ensuite en informer l'administration chez Levio en remplissant les feuilles de temps de Levio et du client, le cas échéant.

3. Il est recommandé de laisser un message d'absence dans sa boîte de courriel pour indiquer la période d'absence. 

4. L'approbation des vacances doit se faire le plus tôt possible pour permettre une bonne planification et transition pendant l'absence du conseiller.";5.07
Que se passe-t-il avec les vacances non utilisées à la fin de l'année chez Levio?;" Voici ce que je comprends concernant les vacances non utilisées chez Levio:

- Les vacances non utilisées pour une année sont cumulées et disponibles pour l'année suivante. Ainsi, les jours de vacances non pris une année peuvent être reportés et pris l'année d'après. 

- Il est possible d'anticiper jusqu'à 5 jours de vacances pour l'année en cours. 

- La période entre Noël et le jour de l'An est une période où tous les travaux sont suspendus et les bureaux fermés, afin que tous puissent prendre des vacances bien méritées, généralement avec les jours de vacances annuelles. 

- Plusieurs autres options sont disponibles pour cette période, comme la banque de temps, les jours de congé convertis ou l'incentif.";4.94
Combien de jours de vacances un employé de Levio peut-il anticiper durant l'année?; D'après les informations fournies dans le document, un employé de Levio peut anticiper jusqu'à cinq jours de vacances durant l'année. Le texte mentionne qu'il est possible d'anticiper cinq jours de vacances et qu'il est important que chacun puisse prendre toutes ses vacances pendant l'année pour assurer un équilibre entre la vie personnelle et professionnelle.;5.25
Quel est le nombre total de jours fériés accordés aux conseillers?;" Le nombre total de jours fériés accordés aux conseillers est de onze (11) jours. Ces jours fériés sont listés dans l'intranet de l'entreprise sous la section ""Ressources Humaines"" et varient selon la province du conseiller. Si un conseiller doit travailler durant un jour férié à la demande exceptionnelle d'un client, il pourra reprendre ce congé ultérieurement avec l'approbation de l'équipe de gestion.";2.70
Quelle est la procédure à suivre si un conseiller travaille pendant un jour férié?;" La procédure à suivre si un conseiller travaille pendant un jour férié est la suivante:

Le conseiller peut reprendre ce jour férié travaillé ultérieurement avec l'approbation de l'équipe de gestion. Le suivi de la reprise du jour férié se fera dans le cadre de la gestion trimestrielle. Si le client demande exceptionnellement à un conseiller de travailler durant l'une de ces journées fériées, ce dernier pourra reprendre ce congé dès que possible. Le respect des politiques du client et des heures travaillées requises sont également importants. Le conseiller bénéficie d'une certaine latitude tant que ces conditions sont respectées.";5.11
Quelles sont les modalités d'absence rémunérée en cas de maladie chez Levio?;" Voici les modalités d'absence rémunérée en cas de maladie chez Levio :

Les conseillers Levio peuvent se prévaloir d'absences rémunérées en cas de maladie. Ces journées doivent être prises en cas d'incapacité à travailler due à la maladie, avec une explication dans les feuilles de temps. L'employeur peut demander un billet médical pour justifier les absences. Le programme d'assurance invalidité de courte durée pourrait également s'appliquer selon le contexte. De plus, les conseillers disposent de deux journées de congé personnel rémunéré par année civile sans justification.";5.74
Que comprend le congé personnel offert aux conseillers permanents et quelles sont les restrictions liées à ces jours de congé?; Le congé personnel offert aux conseillers permanents comprend des jours de congé qui peuvent être pris pour des obligations familiales, des raisons personnelles ou pour combler le congé des fêtes. Ces jours ne peuvent pas être reportés d'une année à l'autre et ne peuvent pas être monétisés. Les conseillers ont également accès aux congés de maladie, sociaux et sans solde prévus par la législation en vigueur dans leur province de résidence.;4.54
Quelle est la durée maximale autorisée pour un congé sans solde long terme chez Levio?; La durée maximale autorisée pour un congé sans solde long terme chez Levio est de 6 mois. Il est nécessaire de convenir préalablement des modalités avec son chargé de projet/mandataire, son client, son GPS et les ressources humaines. Il faut également prévoir une période de transfert de connaissances raisonnable afin de ne pas affecter négativement les clients ou collègues du conseiller.;4.13
Quelle est la procédure pour prendre un congé sans solde?;" Voici la procédure pour prendre un congé sans solde:

- Pour un congé sans solde court terme de 10 jours ou moins par année, le conseiller continue d'accumuler des vacances et de l'allocation de développement professionnel. 

- Au-delà des 10 jours, il s'agit d'un congé sans solde long terme. Le conseiller ne continue plus d'accumuler de vacances ou d'allocation de développement professionnel pendant cette période.

- Il faut en informer son chargé de projet ou mandataire ainsi que le client. La demande doit être faite par écrit à son GPS en mettant en copie l'adresse courriel accessconseillers@levio.ca.";9.69
En quoi consiste l'Incitatif REER de Levio et quelle est la contribution maximale que Levio offre à ses employés?; L'incitatif REER de Levio consiste en une contribution égale à 50% des cotisations du employé à son REER collectif, jusqu'à un maximum de 3% du salaire de l'employé. La contribution maximale de Levio est donc de 1 500$ pour un employé gagnant 50 000$ par année. Levio encourage fortement ses employés à investir dans ce régime collectif pour préparer leur retraite.;3.92
Quelles sont les conditions d'acquisition des sommes versées dans le RPDB?;" Voici une réponse en quatre phrases maximum:
<réponse>
Les sommes versées dans le RPDB sont issues de l'Incitatif REER de l'employé. Si l'employé ne convertit pas la totalité de l'Incitatif REER en jours de vacances, le solde est automatiquement investi dans son RPDB. Le conseiller choisit cette option lorsqu'il décide de cotiser à son REER collectif. Il peut modifier son choix chaque année lors de son évaluation de progression.
</réponse>";3.69
